"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start","time","time_index","season","season_week"
"1","States","Alabama",2010,40,NA,2.13477,NA,NA,NA,NA,NA,NA,249,35,11664,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"2","States","Alaska",2010,40,NA,0.875146,NA,NA,NA,NA,NA,NA,15,7,1714,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"3","States","Arizona",2010,40,NA,0.674721,NA,NA,NA,NA,NA,NA,172,49,25492,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"4","States","Arkansas",2010,40,NA,0.696056,NA,NA,NA,NA,NA,NA,18,15,2586,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"5","States","California",2010,40,NA,1.95412,NA,NA,NA,NA,NA,NA,632,112,32342,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"6","States","Colorado",2010,40,NA,0.660684,NA,NA,NA,NA,NA,NA,134,14,20282,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"7","States","Connecticut",2010,40,NA,0.0783085,NA,NA,NA,NA,NA,NA,3,12,3831,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"8","States","Delaware",2010,40,NA,0.100125,NA,NA,NA,NA,NA,NA,4,13,3995,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"9","States","District of Columbia",2010,40,NA,2.80877,NA,NA,NA,NA,NA,NA,73,4,2599,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"10","States","Florida",2010,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"11","States","Georgia",2010,40,NA,1.6049,NA,NA,NA,NA,NA,NA,647,62,40314,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"12","States","Hawaii",2010,40,NA,1.02934,NA,NA,NA,NA,NA,NA,20,18,1943,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"13","States","Idaho",2010,40,NA,0.414938,NA,NA,NA,NA,NA,NA,19,12,4579,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"14","States","Illinois",2010,40,NA,1.28205,NA,NA,NA,NA,NA,NA,505,74,39390,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"15","States","Indiana",2010,40,NA,0.518962,NA,NA,NA,NA,NA,NA,65,44,12525,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"16","States","Iowa",2010,40,NA,0.563063,NA,NA,NA,NA,NA,NA,10,6,1776,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"17","States","Kansas",2010,40,NA,0.442227,NA,NA,NA,NA,NA,NA,39,40,8819,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"18","States","Kentucky",2010,40,NA,0.142932,NA,NA,NA,NA,NA,NA,19,14,13293,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"19","States","Louisiana",2010,40,NA,2.28108,NA,NA,NA,NA,NA,NA,391,41,17141,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"20","States","Maine",2010,40,NA,0.357724,NA,NA,NA,NA,NA,NA,22,30,6150,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"21","States","Maryland",2010,40,NA,1.3192,NA,NA,NA,NA,NA,NA,117,17,8869,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
"22","States","Massachusetts",2010,40,NA,0.604621,NA,NA,NA,NA,NA,NA,168,56,27786,2010-10-04,2010-10-02 20:00:00,14884,"2010/2011",10
